"Acount","Cost","Billing","Margin","Impressions"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","$2,209.66","$3,438.35","35.73%","439,619"
"actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","$661.60","$1,651.83","59.95%","371,645"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","$191.32","$273.32","30.00%","1,248,700"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","$141.56","$202.22","30.00%","55,640"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","$18.27","$26.10","30.00%","81,240"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","$0.43","$0.71","40.00%","521"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","$0.19","$0.22","14.98%","64"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","$0.00","$0.01","40.00%","2"
"actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","$0.00","$0.00","30.00%","20"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","$0.00","$0.00","29.97%","1"
