"Time","Instance Id","As Group","requests","bids","Worker Id"
"22/12/2021 16:09","95.211.125.231","servers.com","801","31",-1
"22/12/2021 16:09","95.211.125.231","servers.com","600","13",-1
"22/12/2021 16:09","95.211.125.231","servers.com","621","9",-1
"22/12/2021 16:09","95.211.125.231","servers.com","582","11",-1
"22/12/2021 16:09","95.211.125.231","servers.com","722","16",-1
"22/12/2021 16:09","95.211.125.231","servers.com","456","4",-1
"22/12/2021 16:09","95.211.125.231","servers.com","502","11",-1
"22/12/2021 16:09","95.211.125.231","servers.com","938","24",-1
"22/12/2021 16:09","95.211.125.231","servers.com","713","13",-1
"22/12/2021 16:09","95.211.125.231","servers.com","427","22",-1
"22/12/2021 16:09","95.211.125.231","servers.com","559","5",-1
"22/12/2021 16:09","95.211.125.231","servers.com","734","13",-1
"22/12/2021 16:09","95.211.125.231","servers.com","811","16",-1
"22/12/2021 16:09","95.211.125.231","servers.com","907","5",-1
"22/12/2021 16:09","95.211.125.231","servers.com","647","21",-1
"22/12/2021 16:09","95.211.125.231","servers.com","685","12",-1
"22/12/2021 16:09","95.211.125.231","servers.com","426","5",-1
"22/12/2021 16:09","95.211.125.231","servers.com","947","7",-1
"22/12/2021 16:09","95.211.125.231","servers.com","593","24",-1
"22/12/2021 16:09","95.211.125.231","servers.com","680","16",-1
"22/12/2021 16:09","95.211.125.231","servers.com","702","11",-1
"22/12/2021 16:09","95.211.125.231","servers.com","875","3",-1
"22/12/2021 16:09","95.211.125.231","servers.com","663","4",-1
"22/12/2021 16:09","95.211.125.231","servers.com","601","7",-1
"22/12/2021 16:09","95.211.125.231","servers.com","770","25",-1
"22/12/2021 16:09","95.211.125.231","servers.com","665","7",-1
"22/12/2021 16:09","95.211.125.231","servers.com","789","15",-1
"22/12/2021 16:09","95.211.125.231","servers.com","641","25",-1
"22/12/2021 16:09","95.211.125.231","servers.com","700","16",-1
"22/12/2021 16:09","95.211.125.231","servers.com","964","19",-1
"22/12/2021 16:09","95.211.125.231","servers.com","664","20",-1
"22/12/2021 16:09","95.211.125.231","servers.com","803","14",-1
"22/12/2021 16:09","95.211.125.231","servers.com","585","7",-1
"22/12/2021 16:09","95.211.125.231","servers.com","651","25",-1
"22/12/2021 16:09","95.211.125.231","servers.com","695","12",-1
"22/12/2021 16:09","95.211.125.231","servers.com","810","18",-1
"22/12/2021 16:09","95.211.125.231","servers.com","533","7",-1
"22/12/2021 16:09","95.211.125.231","servers.com","429","6",-1
"22/12/2021 16:09","95.211.125.231","servers.com","503","7",-1
