"Time","Instance Id","az","resTime","errors","Instance Type","requests","qps","bids"
"12/12/2021 11:23","127.94.0.1",,,,,"0","0","0"
"12/12/2021 11:23","5.79.126.195","AMS",203,0,"HP DL380eG8 - E5-2420","125,072","2085","297"
"12/12/2021 11:23","5.79.125.7","AMS",172,0,"HP DL380eG8 - E5-2420","124,527","2075","332"
"12/12/2021 11:23","95.211.125.238","AMS",186,0,"HP DL380eG8 - E5-2420","124,411","2074","309"
"12/12/2021 11:23","5.79.126.200","AMS",172,0,"HP DL380eG8 - E5-2420","123,954","2066","287"
"12/12/2021 11:23","5.79.125.8","AMS",181,0,"HP DL380eG8 - E5-2420","123,818","2064","307"
"12/12/2021 11:23","5.79.126.198","AMS",168,0,"HP DL380eG8 - E5-2420","123,746","2062","294"
"12/12/2021 11:23","5.79.126.199","AMS",201,0,"HP DL380eG8 - E5-2420","123,414","2057","334"
"12/12/2021 11:23","95.211.125.231","AMS",189,0,"HP DL380eG8 - E5-2420","123,000","2050","323"
"12/12/2021 11:23","209.58.170.136","SGP",628,0,"HP DL120 G9 Xeon E5-1650v","22,387","373","134"
"12/12/2021 11:23","23.106.253.48","SGP",601,0,"HP DL120 G9 Xeon E5-1650v","22,384","373","137"
"12/12/2021 11:23","209.58.168.143","SGP",709,0,"Dell R620 2x Intel Xeon E","22,363","373","161"
"12/12/2021 11:23","23.106.249.43","SGP",598,0,"HP DL120 G9 Xeon E5-1650v","22,326","372","133"
"12/12/2021 11:23","23.105.170.102","USE",257,0,"2x Intel Xeon E5-2420","208,633","3477","5,715"
"12/12/2021 11:23","207.244.116.242","USE",230,0,"2x Intel Xeon E5-2420","177,944","2966","4,649"
"12/12/2021 11:23","23.82.11.27","USE",204,0,"2x Intel Xeon E5-2420","125,264","2088","3,636"
"12/12/2021 11:23","207.244.125.214","USE",204,0,"2x Intel Xeon E5-2420","56,606","943","1,583"
"12/12/2021 11:23","207.244.69.201","USE",211,0,"2x Intel Xeon E5-2420","53,407","890","1,637"
"12/12/2021 11:23","207.244.125.221","USE",212,0,"2x Intel Xeon E5-2420","51,522","859","1,650"
"12/12/2021 11:23","207.244.116.243","USE",206,0,"2x Intel Xeon E5-2420","50,507","842","1,608"
"12/12/2021 11:23","108.59.9.182","USE",201,0,"2x Intel Xeon E5-2420","49,636","827","1,561"
"12/12/2021 11:23","162.210.198.66","USE",201,0,"2x Intel Xeon E5-2420","34,969","583","1,306"
"12/12/2021 11:23","23.19.65.148","USW",376,0,"2x Intel Xeon E5-2630v4","40,851","681","5,593"
"12/12/2021 11:23","23.19.65.146","USW",375,0,"2x Intel Xeon E5-2630v4","40,844","681","5,668"
"12/12/2021 11:23","23.19.73.28","USW",302,0,"2x Intel Xeon E5-2630v4","0","0","0"
