"Time","Instance Id","az","resTime","errors","Instance Type","requests","qps","bids"
"22/12/2021 15:55","95.211.125.231","AMS",179,0,"HP DL380eG8 - E5-2420","27,109","452","372"
"22/12/2021 15:55","5.79.126.198","AMS",163,0,"HP DL380eG8 - E5-2420","26,741","446","295"
"22/12/2021 15:55","5.79.125.8","AMS",184,0,"HP DL380eG8 - E5-2420","26,568","443","319"
"22/12/2021 15:55","5.79.126.199","AMS",165,0,"HP DL380eG8 - E5-2420","26,391","440","230"
"22/12/2021 15:55","5.79.125.7","AMS",165,0,"HP DL380eG8 - E5-2420","26,186","436","255"
"22/12/2021 15:55","5.79.126.200","AMS",179,0,"HP DL380eG8 - E5-2420","26,152","436","285"
"22/12/2021 15:55","95.211.125.238","AMS",183,0,"HP DL380eG8 - E5-2420","26,122","435","271"
"22/12/2021 15:55","5.79.126.195","AMS",140,0,"HP DL380eG8 - E5-2420","25,955","433","273"
"22/12/2021 15:55","209.58.168.143","SGP",704,0,"Dell R620 2x Intel Xeon E","11,828","197","293"
"22/12/2021 15:55","209.58.170.136","SGP",659,0,"HP DL120 G9 Xeon E5-1650v","11,615","194","234"
"22/12/2021 15:55","23.106.249.43","SGP",651,0,"HP DL120 G9 Xeon E5-1650v","11,597","193","245"
"22/12/2021 15:55","23.106.253.48","SGP",667,0,"HP DL120 G9 Xeon E5-1650v","11,334","189","288"
"22/12/2021 15:55","207.244.125.221","USE",208,0,"2x Intel Xeon E5-2420","42,705","712","1,238"
"22/12/2021 15:55","23.105.170.102","USE",209,0,"2x Intel Xeon E5-2420","34,289","571","1,212"
"22/12/2021 15:55","207.244.69.201","USE",263,0,"2x Intel Xeon E5-2420","33,718","562","1,054"
"22/12/2021 15:55","162.210.198.66","USE",269,0,"2x Intel Xeon E5-2420","33,425","557","1,030"
"22/12/2021 15:55","108.59.9.182","USE",193,0,"2x Intel Xeon E5-2420","32,309","538","1,146"
"22/12/2021 15:55","207.244.116.243","USE",203,0,"2x Intel Xeon E5-2420","31,040","517","1,169"
"22/12/2021 15:55","207.244.116.242","USE",257,0,"2x Intel Xeon E5-2420","26,574","443","950"
"22/12/2021 15:55","207.244.125.214","USE",201,0,"2x Intel Xeon E5-2420","0","0","0"
"22/12/2021 15:55","23.82.11.27","USE",196,0,"2x Intel Xeon E5-2420","0","0","0"
"22/12/2021 15:55","23.19.73.28","USW",381,0,"2x Intel Xeon E5-2630v4","42,946","716","2,770"
"22/12/2021 15:55","23.19.65.148","USW",384,0,"2x Intel Xeon E5-2630v4","39,520","659","2,487"
"22/12/2021 15:55","23.19.65.146","USW",384,0,"2x Intel Xeon E5-2630v4","39,022","650","2,297"
