"Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","628,978","1,501","$0.14","0.24%","$134.09","$203.48","$69.39"
"actor_sPkRhNFQydDsumHKLyukrxcCrRHsu","71,012","52","$0.41","0.07%","$14.93","$21.32","$6.39"
"actor_ATxhfpUHrPpm5s1iU4LOAH2WrcLkTJ","31","0","$0.00","0.00%","$0.09","$0.11","$0.02"
"actor_XWOm2u94dUBj4rdE8ivbBpV4xmrWg","1","6","$0.00","600.00%","$0.00","$0.00","$0.00"
"actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","12,062","15","$3.16","0.12%","$33.17","$47.38","$14.21"
"actor_2Dv6b2xAFXFni2y1ny9VxbOn00MADo","119,579","347","$0.54","0.29%","$111.90","$186.14","$74.24"
"actor_2qL0253I3LmKgsC7c760zrutSrgW6x","146,229","271","$3.85","0.19%","$663.99","$1,043.55","$379.56"
"actor_MjwPipI1TkXVXKEcCjGqmmhaPEhc4Q","1","3","$0.00","300.00%","$0.00","$0.00","$0.00"
"actor_UGofIMmKhTS829ar971KbMqfRFyM","0","3","$0.00","0.00%","$0.00","$0.00","$0.00"
"actor_i39reHl7iMk03aaKxXmsNdPqE0Ievc","0","1","$0.00","0.00%","$0.00","$0.00","$0.00"
"actor_UaUGrc8JEhSR95xaLuLMQDwprdLlEn","0","9","$0.00","0.00%","$0.00","$0.00","$0.00"
