"Campaign name","Campaign id","Account","Wins","clicks","CPC","CTR","Cost","Spend","Profit"
"TranquilZ MW Android -Most healthiest cities","campaign_0G32X0ixkpt5v0jd1UMNbXRex0fstD","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","2,448","2","$0.43","0.08%","$0.60","$0.85","$0.26"
"3600547 Havas Viatris Epipen September 2021_728x90","campaign_rWoNBC0FsRULmuJsf0Oo8qQOPrm9sJ","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,943","4","$2.91","0.21%","$8.15","$11.65","$3.49"
"ShopRite -  Location 2","campaign_IzK1k8b0WFlT0JXqjRW7tHAMzGvyNF","actor_LsCO3CwhyUXlzCMQf3ueOFPf7Ij2","5,846","11","$1.06","0.19%","$8.16","$11.65","$3.50"
"TranquilZ IA iOS - Radio focused","campaign_wHnVtrd9dtt9n5sdaLxHPnKHpFCos9","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","14,450","36","$0.10","0.25%","$2.53","$3.61","$1.08"
"TranquilZ IA iOS","campaign_jBNIIWKH0xyhPopO5TNHW28T7Cubdo","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","10,013","24","$0.06","0.24%","$1.05","$1.50","$0.45"
"3600548 Havas Viatris Synthroid Brand October 2021_300x600","campaign_50RmLNca72TV31n35zPFCEraEJ8S","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","952","0","$0.00","0.00%","$3.98","$5.68","$1.70"
"3600492 Yates Weed N Feed October 2021","campaign_RRuBstNhzMIaeRTbROr80zFyEdUki0","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","297","7","$0.08","2.36%","$0.41","$0.59","$0.18"
"3600583 Firth Order Concrete LN01","campaign_bsOqK8PrUz99vLzyE2GUGk7QuSrE4","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","5,507","6","$2.29","0.11%","$9.63","$13.75","$4.13"
"TranquilZ DT - Radio focused","campaign_cbyA1EHlTrxJ0OrSsuspat0i7uUe3","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","1","0","$0.00","0.00%","$0.00","$0.00","$0.00"
"Master Refi TikTok video","campaign_qAWlEIS7rmIri3xnwXDWhDVHCfOOk","actor_UGofIMmKhTS829ar971KbMqfRFyM","136","136","$0.00","100.00%","$0.14","$0.19","$0.06"
"TranquilZ DT","campaign_topOpdUr6wgutGkCrdB1CBXHxQ7JAH","actor_n8q7IDEMysmDeHaR3K5itxNSbono4r","10","0","$0.00","0.00%","$0.01","$0.01","$0.00"
"3600547 Havas Viatris Epipen September 2021_300x600","campaign_fppcF9tOHFpjdqVy7MJdN39S3L8RQL","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,903","1","$11.32","0.05%","$7.93","$11.32","$3.40"
"3600548 Havas Viatris Synthroid Brand October 2021_970x250","campaign_1uLTBHaBi8l8qO9O25byP0DCMG1n10","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","884","0","$0.00","0.00%","$3.71","$5.30","$1.59"
"J3600575 John Flynn Assisted Living Apartments Oct-Dec 2021","campaign_jvt2OrRCICP98kci1S1ashE0yHcIah","actor_38OrsGKnv2EnEilCTMbz80ig8Aag8","1,259","2","$2.51","0.16%","$3.52","$5.03","$1.51"
