"Exchang name","Exchange","Num","Impressions","Cost"
"Google Adx","exchange_FHTdban0dWKfSa2xOJI9qIQyXH7CLq","13","76,583,000","$43,339.67"
"Pubmatic","exchange_JgqyQFEHCi","33","2,935,662","$4,361.69"
"ShowCase Ads","exchange_BBVFy3l4UB","151","5,524,540","$2,263.61"
"AdColoni (bw)","exchange_iNJ1vqDfVJ","177","2,985,417","$1,947.82"
"Algorix (bw)","exchange_iNJ1vqDfAR","179","1,160,263","$1,484.27"
"Epom (premium)","06MPNRTu7T","162","2,067,046","$1,023.32"
"Beachfront","exchange_sQcqbo4KvZ","48","3,408,055","$940.76"
"PubNative (bw)","exchange_iNJ1vqDfPN","178","1,342,057","$733.71"
"717Studio","WbAs5oTI2","158","658,219","$694.76"
"Epom","7W2ElMVNr0","1,154","246,704","$209.22"
"Mobupps","gxXkRtBI1a","1,244","92,699","$34.86"
"Clickadilla","4xeM6Q2GMy","123","28,045","$13.06"
,"facebook",,"3,978","$3.98"
,"tiktok",,"313","$0.31"
"Advangelists","exchange_2R33Fa9wVx","1,050","1","$0.00"
"AdServeMe","exchange_etePl9kqEi","146","1","$0.00"
